pubmed_id	size	cl_id	Comment	Intact?
22660330	3			
19903340	3			
19966799	3			
15630084	3			
23604122	3			
11916981	3			
22722849	3			
22728435	3			
31640277	3			
22705208	3			
32079660	3			
31653868	3			
23770565	3			
24735925	3			
26787466	3			
27027284	3			
26950892	3			
26836588	3			
31379806	3			
23178883	3			
17280616	3			
16839418	3			
24880667	3			
27098453	3			
19369943	3			
24823443	3			
24737000	3			
24814347	3			
24814348	3			
24970086	3			
22312431	3			
19411070	3			
21242965	3			
19255092	3			
27451907	3			
17612402	3			
29541021	3			
21277283	3			
17626041	3			
19158676	3			
24670641	3			
12855700	3			
29675578	3			
14739298	3			
21743479	3			
26567527	3			
25487150	3			
26439010	3			
25533949	3			
14506250	3			
20126263	3			
19503796	3			
25531777	3			
25360523	3			
21725360	3			
34386498	3			
34341353	3			
33895773	3			
15345710	3			
15314656	3			
15037601	3			
21398607	3			
21725358	3			
21814512	3			
25616068	3			
30631038	3			
21407176	3			
30894749	3			
30765471	3			
30668577	3			
36321378	3			
22039351	3			
22057290	3			
22078880	3			
21685939	3			
37340443	3			
11257119	3			
10747088	3			
10415025	2			
37926298	2			
11024045	2			
9473338	2			
35810171	2			
37248947	2			
22266820	2			
22164301	2			
22130794	2			
22116401	2			
21798038	2			
34158475	2			
34117209	2			
34031383	2			
25789606	2			
19684601	2			
19680552	2			
19675569	2			
19665976	2			
26267537	2			
26267535	2			
26228159	2			
33947832	2			
15556604	2			
15328537	2			
15242778	2			
15109305	2			
22416134	2			
22401567	2			
26431207	2			
26389665	2			
19837035	2			
25714926	2			
25642963	2			
20169165	2			
20144646	2			
19907493	2			
22386318	2			
22363216	2			
33110251	2			
33097660	2			
33061433	2			
33060591	2			
32953130	2			
32644293	2			
21533037	2			
25327252	2			
25307056	2			
25180228	2			
25170085	2			
19635168	2			
19564354	2			
19525971	2			
25500533	2			
25394790	2			
24976139	2			
20553494	2			
26977879	2			
26950370	2			
26894577	2			
26814970	2			
20386726	2			
20211137	2			
21423167	2			
22582013	2			
22570591	2			
22559944	2			
22508683	2			
15644415	2			
15583694	2			
32514408	2			
32493513	2			
32405532	2			
32366851	2			
22792074	2			
22789536	2			
22768251	2			
20691906	2			
20665473	2			
20638385	2			
27109047	2			
20541701	2			
24937458	2			
24870230	2			
24766807	2			
31988313	2			
31964889	2			
31932617	2			
31511497	2			
23042150	2			
24502362	2			
24493589	2			
20890285	2			
19322197	2			
19290556	2			
27524201	2			
20711181	2			
20708153	2			
22863277	2			
22796965	2			
16982639	2			
16756390	2			
16754960	2			
16638120	2			
21399639	2			
21368882	2			
21357692	2			
21349273	2			
24316673	2			
24316671	2			
28046066	2			
27824081	2			
27733149	2			
27720922	2			
27626412	2			
27599036	2			
31160551	2			
31024008	2			
30613765	2			
30580966	2			
30530698	2			
30518913	2			
23245996	2			
23940795	2			
23937259	2			
19135897	2			
19107194	2			
19081057	2			
18976966	2			
28197073	2			
28054552	2			
24211834	2			
20861307	2			
20819940	2			
24352239	2			
18794899	2			
18660514	2			
28471448	2			
21029865	2			
23954233	2			
21408167	2			
30354839	2			
30241482	2			
30015847	2			
29785119	2			
29758265	2			
18266467	2			
17761676	2			
23520446	2			
23514585	2			
23455607	2			
23449449	2			
23364696	2			
17557078	2			
17443684	2			
29748286	2			
29725819	2			
29657270	2			
18598942	2			
23911321	2			
23871208	2			
23870315	2			
21131967	2			
21119599	2			
29190904	2			
29153328	2			
23565059	2			
18570629	2			
29374162	2			
29361949	2			
29317492	2			
21092281	2			
36396045	2			
11882361	2			
34782627	2			
34706264	2			
34615619	2			
34544279	2			
34471099	2			
21871133	2			
36833176	2			
36739428	2			
21718540	2			
25860027	2			
25851604	2			
35167623	2			
35075101	2			
12616539	2			
12421467	2			
12151104	2			
36604718	1			
12473693	1			
34914033	1			
35657344	1			
20075868	1			
20078863	1			
25837623	1			
25848931	1			
25873175	1			
21931826	1			
21957239	1			
34487793	1			
11713253	1			
11864996	1			
21278420	1			
23658700	1			
23706739	1			
29391048	1			
29455656	1			
18518979	1			
23584453	1			
21203429	1			
21242970	1			
21247419	1			
28777872	1			
29083416	1			
21179087	1			
21184734	1			
23752197	1			
23760478	1			
23782464	1			
23850221	1			
23935490	1			
29734393	1			
17620407	1			
23352416	1			
23377543	1			
23474713	1			
23498974	1			
23503662	1			
17693435	1			
18256700	1			
30102379	1			
30245403	1			
23142980	1			
23144622	1			
23966832	1			
23995758	1			
20924358	1			
20930847	1			
20935634	1			
20940394	1			
28507509	1			
28611246	1			
18622013	1			
18724935	1			
18852879	1			
24086303	1			
24135280	1			
24217340	1			
18923419	1			
23153539	1			
23217712	1			
23273425	1			
23286197	1			
30530185	1			
30842726	1			
23101630	1			
23103865	1			
21316606	1			
24568222	1			
27577074	1			
27621415	1			
27773430	1			
27829229	1			
27901063	1			
27927196	1			
24237704	1			
16847455	1			
17254575	1			
22801493	1			
22885324	1			
22905162	1			
22921828	1			
20704562	1			
27265506	1			
19233177	1			
19274086	1			
20877282	1			
24394384	1			
24515439	1			
24555568	1			
22952044	1			
23023393	1			
23064648	1			
31435016	1			
31969820	1			
21621563	1			
22634751	1			
22648170	1			
22710124	1			
22726442	1			
22751141	1			
25077178	1			
25135833	1			
24835508	1			
24882516	1			
27043296	1			
27086836	1			
27126989	1			
19454348	1			
32172343	1			
15893313	1			
20231380	1			
26779609	1			
26853155	1			
26872069	1			
26900326	1			
20581824	1			
20594350	1			
24983867	1			
20541251	1			
19543265	1			
19564905	1			
26656091	1			
25266422	1			
25321483	1			
25353163	1			
21423214	1			
21445305	1			
21459093	1			
21487036	1			
