gene_name	localisation
OSBPL5	Vesicles
AQR	Nucleoplasm
CPS1	Nucleoli
CPS1	Nucleoli-rim
RTF2	Nucleoli
RTF2	Nucleoplasm
GABRA1	Plasma-membrane
NLRP2	Cytosol
NLRP2	Golgi-apparatus
NLRP2	Vesicles
SLC45A4	Plasma-membrane
RNF10	Nucleoplasm
ZNF839	Plasma-membrane
GRAMD1B	Endoplasmic-reticulum
GRAMD1B	Plasma-membrane
RNH1	Cytosol
NDUFS1	Mitochondria
RB1CC1	Cytosol
ALAS1	Mitochondria
BIRC3	Cytosol
BIRC3	Nucleoplasm
AKAP11	Cytosol
AKAP11	Nucleoli
AKAP11	Plasma-membrane
GLRX2	Nucleoplasm
SNAPC1	Nucleoli
DERA	Nucleoplasm
STRAP	Cytosol
DEF6	Nucleoplasm
PLEKHO1	Mitochondria
GCLM	Cytosol
GCLM	Nucleoplasm
UBR2	Nucleoplasm
EHD2	Plasma-membrane
DEPDC1	Nucleoplasm
CCDC28A	Plasma-membrane
RRAGD	Nucleoplasm
HSF2	Nucleoplasm
PHF20	Nucleoplasm
HSD17B6	Nucleoplasm
HSD17B6	Vesicles
NR1H3	Nucleoplasm
TYMP	Golgi-apparatus
TYMP	Nuclear-bodies
NCAPH2	Nucleoplasm
TOMM34	Cytosol
SEC63	Endoplasmic-reticulum
KPNA6	Cytosol
VIM	Intermediate-filaments
FAS	Plasma-membrane
CD44	Plasma-membrane
KCNG1	Vesicles
AGPAT4	Golgi-apparatus
SLAMF7	Vesicles
MIPEP	Mitochondria
PRKCH	Cytosol
IFNGR1	Plasma-membrane
VRK2	Endoplasmic-reticulum
VEZT	Nucleoplasm
POU2F2	Nucleoplasm
POU2F2	Vesicles
BRD9	Nucleoplasm
SNX1	Endosomes
SNX1	Lysosomes
TBPL1	Nucleoplasm
BMAL2	Nucleoli
BMAL2	Nucleoplasm
BCLAF1	Nuclear-speckles
SLC39A9	Endoplasmic-reticulum
IBSP	Vesicles
RABEP1	Cytosol
RABEP1	Vesicles
HMGB3	Nucleoplasm
IKZF2	Nuclear-bodies
IKZF2	Nucleoplasm
GRN	Lysosomes
FAM13B	Nucleoplasm
CENPQ	Nucleoplasm
SARS1	Cytosol
RANBP3	Nucleoplasm
ARID4A	Nucleoplasm
EIPR1	Nucleoli
EIPR1	Nucleoplasm
PNPLA6	Cytosol
PNPLA6	Endoplasmic-reticulum
IFT88	End-piece
IFT88	Microtubules
IFT88	Primary-cilium
ALG1	Endoplasmic-reticulum
ZCCHC8	Nucleoplasm
ABCF2	Cytosol
CHPF2	Cytosol
CHPF2	Nucleoplasm
LRRC7	Cytosol
LRRC7	Plasma-membrane
FUT8	Golgi-apparatus
UBA6	Cytosol
UBA6	Nucleoplasm
GAB2	Plasma-membrane
ATP6V0A1	Golgi-apparatus
ATP6V0A1	Vesicles
SLC4A7	Plasma-membrane
APBA2	Golgi-apparatus
MAP2K3	Cytosol
MAP2K3	Nucleoplasm
CLXN	Mid-piece
CLXN	Principal-piece
ASTE1	Endoplasmic-reticulum
PEX3	Nucleoplasm
PEX3	Peroxisomes
SH3YL1	Nucleoplasm
FAM136A	Mitochondria
VCL	Focal-adhesion-sites
DEPDC1B	Golgi-apparatus
DAPK2	Golgi-apparatus
DAPK2	Vesicles
NSMAF	Nucleoli
ADSS2	Cytosol
STAP1	Cytosol
STAP1	Nuclear-bodies
RFC1	Nucleoplasm
TBC1D23	Golgi-apparatus
MYOM2	Mitochondria
OTC	Mitochondria
